DBpediaProperty	#tables
zinc	2003
gallium	2001
germanium	1999
arsenic	1997
selenium	1995
bromine	1993
krypton	1991
rubidium	1989
strontium	1987
yttrium	1985
zirconium	1983
niobium	1981
molybdenum	1979
technetium	1977
ruthenium	1975
rhodium	1973
palladium	1971
silver	1969
cadmium	1967
indium	1965
antimony	1963
tellurium	1961
iodine	1959
xenon	1957
cesium	1955
barium	1953
lanthanum	1951
cerium	1949
praseodymium	1947
neodymium	1945
promethium	1943
samarium	1941
europium	1939
gadolinium	1937
terbium	1935
dysprosium	1933
holmium	1931
erbium	1929
thulium	1927
ytterbium	1925
lutetium	1923
hafnium	1921
tantalum	1919
tungsten	1917
rhenium	1915
osmium	1913
iridium	1911
platinum	1909
gold	1907
thallium	1905
lead	1903
bismuth	1901
polonium	1899
astatine	1897
radon	1895
francium	1893
radium	1891
actinium	1889
thorium	1887
protactinium	1885
uranium	1883
neptunium	1881
plutonium	1879
americium	1877
curium	1875
berkelium	1873
californium	1871
einsteinium	1869
fermium	1867
mendelevium	1865
nobelium	1863
lawrencium	1861
rutherfordium	1859
dubnium	1857
seaborgium	1855
bohrium	1853
hassium	1851
meitnerium	1849
darmstadtium	1847
roentgenium	1845
copernicium	1843
nihonium	1841
flerovium	1839
moscovium	1837
livermorium	1835
tennessine	1833
oganesson	1831
alcohol	1829
acidity	1827
acid	1825
tannin	1823
dimension	1821
viscosity	1819
hardness	1817
flexibility	1815
moisture	1813
calorie	1811
protein	1809
fat	1807
carbohydrate	1805
fiber	1803
sugar	1801
benign	1799
b	1797
g	1795
r	1793
account	1791
advisor	1789
aircraft	1787
airplane	1785
airport	1783
alert	1781
anemia	1779
animation	1777
appetite	1775
approach	1773
approval	1771
aroma	1769
aspiration	1767
asset	1765
association	1763
audience	1761
badge	1759
bar	1757
beach	1755
benefits	1753
big	1751
bus	1749
business	1747
°c	1746
cache	1745
calendar	1743
camp	1741
campaign	1739
candidate	1737
car	1735
card	1733
carousel	1731
carrier	1729
case study	1727
casino	1725
catalog	1723
cathedral	1721
certificate	1719
championship	1717
chart	1715
check	1713
church	1711
cinema	1709
clarity	1707
clinic	1705
clock	1703
coin	1701
color	1699
commerce	1697
commission	1695
complaint	1693
concert	1691
conference	1689
convention	1687
corporation	1685
court	1683
cycle	1681
database	1679
dealership	1677
debate	1675
degree	1673
delivery	1671
dependence	1670
dependent	1670
depot	1669
diagnosis	1667
direction	1665
discrete	1664
disease	1663
driver	1661
drive	1659
economy	1657
enterprise	1655
error	1653
facility	1651
factory	1649
festival	1647
firm	1645
flight	1643
font	1641
form	1639
forum	1637
four	1635
fund	1633
gallery	1631
going out	1629
group	1627
guardian	1625
gym	1623
handicap	1621
harbor	1619
headquarters	1617
health	1615
hidden	1613
high	1611
holder	1609
hostel	1607
hotel	1605
initial	1603
institute	1601
job	1599
journal	1597
keyword	1595
kind	1593
lab	1591
label	1589
laboratory	1587
lake	1585
landmark	1583
lane	1581
law	1579
level	1577
library	1575
machine	1573
major	1571
make	1569
mall	1567
marital	1565
market	1563
math	1561
mathematics	1559
med	1557
medium	1555
menopause	1553
method	1551
mine	1549
ministry	1547
minor	1545
monument	1543
mosque	1541
more	1539
motel	1537
mountain	1535
music	1533
musical	1531
navigate	1529
neighborhood	1527
net	1525
newsletter	1523
newspaper	1521
nightclub	1519
node	1517
nursery	1515
nursing home	1513
objective	1511
occasion	1509
occupancy	1507
ocean	1505
opera	1503
operation	1501
organization	1499
otherwise	1498
outlet	1497
palace	1495
paper	1493
park	1491
parking	1489
pension	1487
period	1485
pharmacy	1483
pizzeria	1481
place	1479
plane	1477
planet	1475
plantation	1473
platform	1471
play	1469
point	1468
port	1467
portal	1465
post office	1463
priority	1461
provider	1459
pyramid	1457
quality	1455
quarter	1453
radio	1451
ranch	1449
reason	1447
recital	1445
refinery	1443
reform	1441
relationship	1439
resort	1437
restaurant	1435
retailer	1433
retirement home	1431
revolution	1429
road	1427
safari	1425
sector	1423
semester	1421
shrine	1419
sign	1417
skill	1415
small	1413
stretch	1411
social media	1409
software	1407
sort	1405
subject	1403
supermarket	1401
support	1399
supplier	1397
symbolic	1395
symphony	1393
symposium	1391
synagogue	1389
system	1387
taste	1385
temple	1383
term	1381
terminal	1379
theater	1377
tool	1375
track	1373
trade	1371
trimester	1369
tunnel	1367
two	1365
union	1363
units	1361
unit	1361
use	1359
variety	1357
vendor	1355
village	1353
worker	1351
yes	1349
zoo	1347
flavor	1345
academy	1343
accordion	1341
adaptation	1339
add	1337
adjustment	1335
advancement	1333
advice	1331
additive	1329
agenda	1327
agreement	1325
aid	1323
algebra	1321
align	1319
allergen	1317
altar	1315
alteration	1313
amendment	1311
amusement	1309
analysis	1307
answer	1305
apartment	1303
applicant	1301
application	1299
applications	1297
appointment	1295
app	1293
aquarium	1291
archive	1289
arena	1287
argument	1285
arrangement	1283
arrow	1281
article	1279
assessment	1277
assignment	1275
assistant	1273
atm	1271
attorney	1269
audio	1267
audit	1265
auto	1263
avatar	1261
avenue	1259
back	1257
backup	1255
backward	1253
bakery	1251
ballet	1249
bank	1247
banner	1245
base	1243
bearer	1241
bed	1239
bibliography	1237
bike	1235
billboard	1233
bistro	1231
blockquote	1229
blog	1227
blur	1225
boat	1223
body	1221
bold	1219
book	1217
booklet	1215
bookmark	1213
bookstore	1211
bottom	1209
boulevard	1207
box	1205
brasserie	1203
break	1201
bridge	1199
brochure	1197
buffet	1195
bulletin	1193
bureau	1191
butcher	1189
button	1187
buyer	1185
cafe	1183
cafeteria	1181
calculus	1179
call	1177
cancel	1175
candidates	1173
capitalize	1171
captcha	1169
caption	1167
carpet	1165
cartoon	1163
case	1161
castle	1159
cell	1157
cemetery	1155
center	1153
century	1151
ceremony	1149
chair	1147
champions	1145
change	1143
chapel	1141
chapter	1139
chat	1137
checkbox	1135
choose	1133
circus	1131
citadel	1129
citation	1127
cite	1125
citizen	1123
citizens	1121
claim	1119
click	1117
client	1115
clients	1113
close	1111
collapse	1109
colleague	1107
comments	1105
competitor	1103
competitors	1101
complaints	1099
complement	1097
condition	1095
cone	1093
confirm	1091
conflict	1089
conservatory	1087
constitution	1085
consultant	1083
contact	1081
container	1079
contenders	1077
content	1075
contestant	1073
contract	1071
contrast	1069
convenience	1067
conversation	1065
cookie	1063
coordinator	1061
coordinate	1059
copy	1057
correction	1055
cottage	1053
couch	1051
council	1049
coupon	1047
create	1045
crematorium	1043
crime	1041
cross	1039
crowd	1037
crypt	1035
cube	1033
cup	1031
curtain	1029
curve	1027
customer	1025
cut	1023
deal	1021
debit	1019
decade	1017
declaration	1015
default	1013
delegate	1011
delete	1009
deliveries	1007
deposits	1005
descriptive	1003
desert	1001
design	999
desk	997
development	995
device	993
diagram	991
dialogue	989
diary	987
diner	985
disagreement	983
disco	981
discount	979
discussion	977
display	975
dispute	973
dissertation	971
diversity	969
doctor	967
document	965
documentary	963
documentation	961
donor	959
door	957
dot	955
double click	953
download	951
drag	949
drawing	947
drop	945
drug	943
dropdown	941
earth	939
edit	937
element	935
elevator	933
ellipse	931
employee	929
employees	927
enhancement	925
enter	923
entrant	921
entry	919
equal	917
equation	915
escalator	913
essay	911
examination	909
exchange	907
exchanges	905
exercise	903
expand	901
expansion	899
expectancy	897
experiment	895
eye	893
farm	891
feedback	889
fence	887
figure	885
file	883
filter	881
finalist	879
finalists	877
final	875
first	873
fitness center	871
fixed	869
flex	867
flyer	865
focus	863
folder	861
follower	859
followers	857
formulation	856
formula	856
footer	855
footnote	853
forest	851
fort	849
fortress	847
forward	845
foundry	843
friend	841
fullscreen	839
function	837
gadget	835
galaxy	833
game	831
gang	829
garage	827
garden	825
gas station	823
gate	821
geometry	819
general	817
gig	815
goal	813
goods	811
graduate	809
grape	807
graph	805
graveyard	803
greater than	801
greenhouse	799
grid	797
grill	795
grocery	793
growth	791
guests	789
guide	787
handbook	785
hashtag	783
hash	782
header	781
heart	779
help	777
hexagon	775
hide	773
highlight	771
hill	769
home page	767
home	767
homework	765
hospital	763
host	761
housing	759
hover	757
hyperbola	755
icon	753
illustration	751
immigration	749
improvement	747
independence	746
independent	746
inductee	745
inequality	743
infinity	741
influencer	739
innovation	737
input	735
inspection	733
instance	731
instructor	729
integral	727
intern	725
intersection	723
interval	722
interview	721
interviewee	719
interviewer	717
inventories	715
inventory	713
investigation	711
investor	709
issue	707
italic	705
item	703
justify	701
king	699
ladder	697
land	695
lap	693
last	691
lawyer	689
leaflet	687
lecture	685
lecturer	683
left	681
lesson	679
liabilities	677
lift	675
like	673
link	671
list	669
loading	667
log	665
logic	663
login	661
logout	659
loser	657
losers	655
lowercase	653
magnitude	651
manual	649
margin	647
marker	645
match	643
matrix	641
mausoleum	639
medicine	637
medication	635
meeting	633
members	631
memo	629
memorial	627
menu	625
message	623
migration	621
milestone	619
mill	617
millennium	615
minister	613
minus	611
missile	609
modal	607
modification	605
module	603
mortality	601
move	599
multiply	597
musician	595
mute	593
news	591
next	589
nominees	587
notification	585
nowrap	583
nurse	581
nutrition	579
octagon	577
offer	575
officer	573
offset	571
open	569
opinion	567
opposition	565
orchard	563
ordered	561
orders	559
organizer	557
outcome	555
overflow	553
padding	551
pad	549
pagination	547
pagoda	545
paid	544
painting	543
pamphlet	541
panel	539
parabola	537
participants	535
passenger	533
password	531
paste	529
path	527
patient	525
patients	523
pattern	521
pause	519
payments	517
penalty	515
pentagon	513
photo	511
pick	509
plan	507
plus	505
podcast	503
podium	501
policy	499
pole	497
poll	495
polygon	493
post	491
poster	489
practice	487
presentation	485
press release	483
previous	481
print	479
prism	477
probability	475
problem	473
products	471
process	469
professor	467
profile	465
program	463
progress	461
progression	459
property	457
proportion	455
proposal	453
prototype	451
pub	449
publication	447
purchase	445
purchases	443
quadrilateral	441
queries	439
query	437
question	435
questionnaire	433
quiz	431
ramp	429
receipt	427
receipts	425
recommendation	423
record	421
rectangle	419
redo	417
reflect	415
refresh	413
refunds	411
register	409
regression	407
regulation	405
rehabilitation center	403
reign	401
reload	399
reminder	397
remove	395
report	393
request	391
requests	389
research	387
researcher	385
reservation	383
reserve	381
reset	379
resident	377
residents	375
resize	373
resource	371
restore	369
return	367
returns	365
reviewer	363
revision	361
right	359
rollback	357
roman	355
roof	353
room	351
root	349
rotate	347
rule	345
runner up	343
runners up	341
sale	339
salon	337
sample	335
sanctuary	333
save	331
schedule	329
scholarship	327
scorer	325
scroll	323
sculpture	321
search	319
seat	317
section	315
security answer	313
security question	311
select	309
seller	307
seminar	305
session	303
set	301
settings	299
shadow	297
shape	296
share	295
shares	293
shear	291
ship	289
shipment	287
shipments	285
shop	283
side	281
site	279
sketch	277
skew	275
slider	273
society	271
sofa	269
solid	267
solution	265
sound	263
spacer	261
specification	259
spectator	257
speech	255
sphere	253
spinner	251
sponsor	249
square	247
stage	245
stairs	243
stamp	241
standard	239
star	237
statement	236
static	235
statistics	233
statue	231
steakhouse	229
step	227
sticker	225
sticky	223
stop	221
store	219
story	217
strategy	215
strikethrough	213
string	211
stringbook	209
student	207
students	205
studio	203
study	201
submission	199
submit	197
submitter	195
subscriber	193
subscription	191
subset	189
success	187
suggestion	185
summit	183
supervisor	181
surface	179
survey	177
synopsis	175
tab	173
table	171
tale	169
talk	167
tap	165
task	163
tavern	161
teacher	159
template	157
terms	155
test	153
testimonial	151
textarea	149
theme	147
therapist	145
thesis	143
throne	141
timeline	139
timer	137
token	135
tooltip	133
top	131
tournament	129
tower	127
trades	125
trail	123
train	121
transaction	119
transactions	117
transfer	115
transfers	113
transform	111
transformation	109
transition	107
translate	105
treaty	103
trial	101
triangle	99
trigonometry	97
truncate	95
trust	93
tutorial	91
uncheck	89
underline	87
undo	85
universe	83
unmute	81
unordered	79
update	77
upgrade	75
upload	73
uploads	71
uppercase	69
users	67
validate	65
valley	63
variation	61
variant	59
vector	57
venue	56
verification	55
version	53
video call	51
video	49
view	47
villa	45
vineyard	43
visible	41
visit	39
visitor	37
volunteer	35
voter	33
wall	31
warehouse	29
war	27
warning	25
webinar	23
webpage	21
well	19
whitepaper	17
wholesaler	15
window	13
winner	11
workplace	9
workshop	7
world	5
zone	3
zoom	1
production company	2566
army	2554
trademark	2539
territory	2481
architect	2473
per capita income	2463
current status	2420
security	2411
interest	2393
project type	2349
training	2347
shuttle	2304
aircraft type	2255
guest	2215
seating capacity	2199
animal	2192
wheelbase	2167
citizenship	2164
assembly	2152
limit	2119
tree	2117
publication date	2108
participant	2070
skills	2060
top speed	2045
background	2041
power output	2016
parish	1998
arm	1986
administrator	1973
certification	1966
enemy	1958
portfolio	1945
secretary	1824
subtitle	1807
fighter	1806
satellite	1788
wingspan	1785
signature	1770
plant	1761
first air date	1742
alliance	1739
track number	1736
parent	1719
rival	1716
cas number	1711
call sign	1690
management	1650
island	1602
pastor	1594
birth year	1588
fate	1560
iucn category	1474
unit cost	1452
reservations	1422
sea	1367
chairperson	1365
epoch	1343
retired	1333
county seat	1332
last air date	1309
sexual orientation	1293
voice	1276
government	1253
airdate	1251
net income	1249
hair color	1236
jurisdiction	1236
mentor	1207
lowest	1189
aspect ratio	1174
foundation	1174
draft	1167
contractor	1166
founder	1155
debut	1123
overall record	1122
fuel capacity	1101
issn	1078
general manager	1076
compiler	1063
vice president	1055
athletics	1048
eyes	1025
